Group,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
Control,1.342878539,1.301351206,1.305035429,0.125526595,0.151379156,0.181544217,0.194700338,0.198517441,0.228950854,0.224274591,0.254418414,0.268786127,0.274674828,0.29052326,0.287576606,0.295612718,0.295679788,0.309774334,0.312376816,0.323062188,0.272262151,0.277318361,0.339382362,0.332426551,0.314969697,0.333702849,0.299370266,0.345157933,0.338399005,0.339318366,0.340385073,0.364409784,0.350454884,0.350425538,0.365489503,0.356382659,0.371097807,0.376652849,0.401314341,0.369425769
Control,0.627385629,0.664828101,0.646731713,0.084569885,0.112379696,0.130034972,0.133827875,0.141800477,0.153818049,0.140045465,0.154758839,0.166167727,0.176288681,0.176688119,0.174878358,0.184581235,0.19113206,0.197579898,0.184732415,0.193543033,0.199136755,0.198767786,0.207832445,0.217446351,0.212695084,0.210239186,0.22887067,0.216926316,0.218926343,0.224903289,0.24278195,0.230162018,0.239163248,0.243168439,0.23930405,0.245984113,0.25252503,0.247087504,0.246580721,0.232996304
Control,1.163096616,1.172054621,1.161227503,0.15843331,0.21619567,0.23154373,0.259937079,0.283834649,0.285491988,0.273374017,0.275345659,0.333446095,0.322917359,0.319130063,0.357690865,0.355043578,0.348951828,0.385450079,0.341631405,0.342263207,0.350245395,0.3592695,0.366407671,0.376645773,0.396874328,0.409075877,0.412672929,0.424377608,0.442680969,0.454404612,0.414714639,0.442087241,0.476818282,0.472070181,0.466416245,0.460526807,0.454689147,0.484348386,0.487658593,0.489647916
Control,0.794761339,0.733008115,0.737564881,0.097628495,0.132698486,0.14114821,0.166979538,0.170517647,0.180239404,0.18738574,0.193282667,0.197593353,0.202152821,0.213024469,0.222622726,0.215865807,0.216966494,0.238230499,0.23900829,0.244097098,0.241173682,0.244480331,0.253504643,0.24646495,0.244811908,0.260407849,0.268275428,0.257768306,0.267840642,0.252879868,0.276607598,0.28104997,0.293695569,0.286523981,0.29077809,0.307114321,0.298208214,0.30251657,0.316407007,0.296118896
Control,1.441979647,1.419318182,1.40849685,0.165193796,0.230330673,0.274595022,0.290303674,0.302030812,0.313443948,0.32837771,0.34549763,0.350800792,0.369333381,0.365277241,0.401260119,0.393871015,0.409099234,0.430957565,0.439621066,0.445886978,0.438826103,0.436237283,0.452174226,0.45139761,0.465165086,0.455432162,0.463632046,0.514068764,0.493373157,0.489436209,0.506080306,0.495580759,0.498366394,0.500541377,0.523306914,0.516018352,0.516168371,0.535614849,0.558231138,0.521384264
Control,1.366264079,1.508794883,1.239299355,0.287369313,0.353201198,0.365773091,0.463025097,0.463339113,0.435731288,0.491324704,0.495533222,0.549818588,0.480113636,0.643802647,0.568768997,0.454487097,0.565548781,0.537141393,0.567893237,0.604503311,0.625788752,0.52708919,0.549712092,0.567032669,0.581096516,0.636488512,0.557181505,0.620171674,0.68235584,0.691734075,0.531075504,0.642568251,0.62159254,0.747271439,0.573428924,0.529310345,0.761200221,0.526498496,0.689015692,0.651844102
Control,0.750942488,0.828776741,0.694607498,0.160775149,0.275776617,0.259655769,0.25625433,0.310370189,0.331970855,0.299242109,0.322503583,0.429095355,0.357154756,0.423691505,0.472149969,0.527235546,0.536032757,0.560469867,0.466047875,0.538135952,0.510230296,0.53327787,0.541129239,0.575822604,0.589953052,0.522807327,0.558363418,0.549246278,0.483296824,0.579788075,0.584170633,0.554109467,0.559961686,0.555093756,0.722485876,0.593936977,0.53964715,0.611027266,0.504936917,0.51321899
Control,0.658153613,0.776434412,0.821448664,0.076013626,0.084678793,0.114433622,0.121856381,0.229014999,0.143459131,0.186415283,0.166155337,0.136844857,0.148686895,0.170869451,0.137188659,0.189891697,0.268508287,0.167397616,0.206792642,0.222699387,0.264569707,0.241120841,0.270009512,0.29872074,0.317584746,0.333388539,0.414029618,0.299943844,0.269247971,0.270007793,0.415118031,0.333804809,0.306425677,0.423101559,0.391966,0.440192129,0.36357681,0.381188491,0.418789923,0.37970507
Control,0.625038112,0.638002944,0.783458748,0.139152742,0.190176844,0.211071544,0.265511423,0.254446869,0.303219919,0.324281371,0.28603981,0.258889934,0.33726647,0.322303532,0.30902939,0.337353262,0.321821036,0.30479183,0.339143426,0.340372587,0.410254572,0.295066604,0.339733116,0.358943667,0.374290833,0.370892701,0.483110825,0.345245306,0.372674741,0.385356897,0.42003231,0.403193613,0.414828614,0.401969697,0.595862198,0.424339669,0.520616136,0.456180666,0.452262202,0.544547398
Control,0.81869579,0.824535691,0.768857,0.084910171,0.111139799,0.137106158,0.151926019,0.185089255,0.187491102,0.192722939,0.210030908,0.230908433,0.218160642,0.223421687,0.243807345,0.245000948,0.254419732,0.252585075,0.260723318,0.304893561,0.295927711,0.283374945,0.313041132,0.329979929,0.333602308,0.313251864,0.341648643,0.364114022,0.372772436,0.34110671,0.359439024,0.367329898,0.35802879,0.384286726,0.359960178,0.356263884,0.341166423,0.386869987,0.434603183,0.411925926
