Group,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190s,200s,210s,220,230,240,250,260,270,280,290,300,310,320
Control,0.87713877,0.892691755,0.980959937,0.111860202,0.155188002,0.177027224,0.20224353,0.233747586,0.244453482,0.260803143,0.3042607,0.341298288,0.337181602,0.360641971,0.35037827,0.346008708,0.372497016,0.42132898,0.422840751,0.449214614,0.476711149,0.476970884,0.452780016,0.482636064,0.512332163,0.47907471,0.542623788,0.456530696,0.557661004,0.567061144,0.528351824,0.549605324,0.558416752,0.55357015,0.555267062,0.599561632
Control,1.026080039,1.144059469,1.170346179,0.06981529,0.092034421,0.111310008,0.131535223,0.121653508,0.140855085,0.153838806,0.155320065,0.174382077,0.186057977,0.190100272,0.183689718,0.191313218,0.191261374,0.192603578,0.200302326,0.189114247,0.222594181,0.233208295,0.224993405,0.21277933,0.211160148,0.221290942,0.221531334,0.241854394,0.267624815,0.271817795,0.298708831,0.306072415,0.271570279,0.266545394,0.274610776,0.278210163
Control,2.433194637,2.404646137,2.255730858,0.118131313,0.22726817,0.257448584,0.308761969,0.388461164,0.425256264,0.471290118,0.534233094,0.581015516,0.596069353,0.612051364,0.718543198,0.728934442,0.734814815,0.7268115,0.733781919,0.829804701,0.82055066,0.870379988,0.866763305,0.916422048,0.979541945,0.967692308,1.01841025,0.995508073,1.055728972,1.015470997,1.084291656,1.17804971,1.164247234,1.150225993,1.182724793,1.194108732
Control,0.733555186,0.740535575,0.749718893,0.0344353,0.048341655,0.047648796,0.074035026,0.071578883,0.087129664,0.076782878,0.09230221,0.092202678,0.101398782,0.105203128,0.126675365,0.129712847,0.132828692,0.144438961,0.132061069,0.143089148,0.148024792,0.13598071,0.161240212,0.139103035,0.165744535,0.172963117,0.181032112,0.160180714,0.193187469,0.179895137,0.176886573,0.228822128,0.216483138,0.204064072,0.219082356,0.202264639
Control,0.67957616,0.727208658,0.709788427,0.171340988,0.19224594,0.181660726,0.193781274,0.200554785,0.220587864,0.247912088,0.24992,0.250478367,0.258038502,0.265620119,0.242038217,0.306552663,0.294773392,0.316119859,0.276375518,0.295439931,0.326983778,0.300899252,0.288983811,0.337521402,0.326008113,0.319162487,0.304099623,0.328193014,0.311503402,0.315835815,0.29590064,0.328339509,0.348816223,0.393039312,0.376343024,0.368658553
Control,0.891277366,0.900201453,0.960473883,0.115605807,0.162401853,0.160599199,0.161657443,0.172046835,0.188410211,0.183696214,0.203002222,0.241582613,0.210527723,0.237223494,0.232362886,0.235356643,0.252000442,0.266255654,0.250523265,0.275661941,0.270092227,0.292272002,0.273499352,0.304117148,0.285472692,0.309343629,0.308419524,0.326946071,0.315625908,0.306058222,0.325972441,0.372772137,0.341211401,0.34952335,0.366207108,0.34347286
Control,0.652668703,0.668005697,0.682666569,0.032927106,0.051531338,0.068248668,0.078977446,0.08012451,0.08523804,0.098489591,0.0984207,0.108850067,0.110839415,0.114258434,0.117291559,0.117991435,0.127022074,0.142071569,0.134929057,0.152258535,0.139083932,0.149482639,0.139911282,0.157236328,0.151828903,0.164566694,0.16002999,0.168208968,0.171414209,0.167834809,0.185434873,0.175288317,0.179453672,0.192927936,0.171530069,0.184654796
Control,0.988549956,1.103979088,1.086888531,0.033026373,0.058038626,0.085455124,0.071063133,0.087232603,0.089145149,0.105412256,0.124986607,0.110190476,0.137200059,0.145613521,0.155434514,0.126778283,0.148195876,0.166450373,0.163946156,0.175911854,0.197904486,0.177912917,0.231856195,0.216381418,0.215459025,0.256199152,0.254075949,0.28815416,0.264074351,0.275889886,0.26085717,0.263006184,0.289808756,0.270146117,0.299940178,0.261845968
Control,1.064341551,1.129521587,1.00220022,0.022633745,0.075497598,0.122487437,0.145584726,0.173253925,0.132724342,0.1925,0.191552063,0.20480226,0.197309417,0.189263973,0.216201717,0.226698737,0.232794734,0.241990847,0.210493047,0.213768116,0.281847134,0.3158388,0.333012512,0.376518219,0.39486755,0.398734177,0.31002331,0.20585162,0.303491495,0.214611872,0.239467849,0.243963364,0.305220884,0.252823632,0.259541985,0.214412811
